scenario_id,scenario_class,fixed_130m_truth_T_ref_m2_s,fixed_130m_truth_S_ref,fixed_130m_support_definition,fixed_130m_support_target_spread,archive_note
mega_homogeneous_confined_00013,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00014,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00015,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00016,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00017,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00018,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00019,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00020,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00021,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00022,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00023,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00024,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00025,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00026,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00027,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00028,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00029,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00030,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00031,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00032,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00033,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00034,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00035,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00036,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00037,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00038,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00039,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00040,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00041,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00042,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00043,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00044,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00045,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00046,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00047,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00048,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00049,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00050,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00051,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00052,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00053,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00054,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00055,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00056,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00057,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00058,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00059,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00060,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00061,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00062,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00063,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00064,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00065,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00066,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00067,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00068,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00069,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00070,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00071,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00072,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00073,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00074,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00075,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00076,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00077,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00078,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00079,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00080,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00081,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00082,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00083,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00084,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00085,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00086,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00087,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00088,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00089,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00090,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00091,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00092,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00093,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00094,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00095,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00096,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00097,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00098,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00099,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00100,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00101,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00102,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00103,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00104,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00105,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00106,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00107,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00108,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00109,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00110,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00111,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00112,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2267552091825564,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00113,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00114,homogeneous confined,5.000000000000013e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.212746053553363,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
mega_homogeneous_confined_00115,homogeneous confined,5.000000000000022e-05,0.001,"pumping-support geometric mean within 130 m, with arithmetic and annular transmissivity targets retained as support sensitivity",1.2702381544273196,Historical fixed 130 m support reference retained for audit only; not the main reference definition.
